iter	Passed	Remaining
766	11101	3372
767	11117	3358
768	11136	3345
769	11157	3332
770	11180	3320
771	11198	3307
772	11226	3296
773	11245	3283
774	11263	3270
775	11282	3256
776	11299	3242
777	11318	3229
778	11337	3216
779	11355	3202
780	11374	3189
781	11391	3175
782	11414	3163
783	11434	3150
784	11463	3139
785	11484	3126
786	11503	3113
787	11513	3097
788	11526	3082
789	11540	3067
790	11549	3051
791	11562	3036
792	11576	3021
793	11587	3006
794	11608	2993
795	11620	2978
796	11631	2962
797	11643	2947
798	11656	2932
799	11667	2916
800	11678	2901
801	11692	2886
802	11705	2871
803	11722	2857
804	11734	2842
805	11747	2827
806	11759	2812
807	11771	2797
808	11784	2782
809	11793	2766
810	11806	2751
811	11818	2736
812	11829	2720
813	11841	2705
814	11860	2692
815	11875	2677
816	11902	2666
817	11920	2652
818	11940	2638
819	11958	2625
820	11977	2611
821	11993	2597
822	12012	2583
823	12030	2569
824	12048	2555
825	12067	2542
826	12085	2528
827	12102	2513
828	12121	2500
829	12138	2486
830	12163	2473
831	12181	2459
832	12201	2446
833	12230	2434
834	12249	2420
835	12273	2407
836	12297	2394
837	12314	2380
838	12329	2365
839	12341	2350
840	12363	2337
841	12381	2323
842	12397	2308
843	12416	2294
844	12437	2281
845	12455	2267
846	12477	2253
847	12497	2240
848	12515	2226
849	12537	2212
850	12555	2198
851	12576	2184
852	12592	2170
853	12616	2156
854	12639	2143
855	12660	2129
856	12680	2115
857	12694	2101
858	12708	2085
859	12722	2071
860	12735	2056
861	12747	2040
862	12759	2025
863	12774	2010
864	12789	1995
865	12803	1981
866	12823	1967
867	12838	1952
868	12852	1937
869	12866	1922
870	12879	1907
871	12892	1892
872	12907	1877
873	12929	1864
874	12943	1849
875	12957	1834
876	12972	1819
877	12995	1805
878	13010	1791
879	13024	1776
880	13040	1761
881	13062	1747
882	13075	1732
883	13089	1717
884	13106	1703
885	13130	1689
886	13144	1674
887	13155	1659
888	13176	1645
889	13189	1630
890	13200	1614
891	13214	1599
892	13227	1584
893	13244	1570
894	13258	1555
895	13271	1540
896	13281	1525
897	13297	1510
898	13313	1495
899	13329	1481
900	13344	1466
901	13360	1451
902	13375	1436
903	13386	1421
904	13397	1406
905	13409	1391
906	13424	1376
907	13435	1361
908	13454	1346
909	13464	1331
910	13477	1316
911	13489	1301
912	13500	1286
913	13522	1272
914	13536	1257
915	13546	1242
916	13558	1227
917	13574	1212
918	13590	1197
919	13603	1182
920	13613	1167
921	13624	1152
922	13642	1138
923	13656	1123
924	13671	1108
925	13684	1093
926	13696	1078
927	13716	1064
928	13727	1049
929	13739	1034
930	13753	1019
931	13765	1004
932	13783	989
933	13795	974
934	13805	959
935	13818	944
936	13832	930
937	13848	915
938	13862	900
939	13880	885
940	13893	871
941	13913	856
942	13927	841
943	13937	826
944	13950	811
945	13963	797
946	13979	782
947	13989	767
948	14001	752
949	14014	737
950	14026	722
951	14043	708
952	14053	693
953	14065	678
954	14081	663
955	14098	648
956	14113	634
957	14127	619
958	14140	604
959	14154	589
960	14166	574
961	14184	560
962	14196	545
963	14213	530
964	14229	516
965	14244	501
966	14259	486
967	14272	471
968	14284	456
969	14303	442
970	14313	427
971	14331	412
972	14344	398
973	14363	383
974	14386	368
975	14396	354
976	14420	339
977	14431	324
978	14454	310
979	14467	295
980	14494	280
981	14516	266
982	14545	251
983	14573	236
984	14608	222
985	14643	207
986	14669	193
987	14701	178
988	14729	163
989	14763	149
990	14800	134
991	14825	119
992	14848	104
993	14863	89
994	14886	74
995	14899	59
996	14913	44
997	14927	29
998	14940	14
999	14961	0
